SYMB,MM/DD/YY,NAV
IBOCT2010,5/1/2014,108.28
IBNOV2010,5/1/2014,107.28
IBDEC2010,5/1/2014,107.16
IBJAN2009,5/1/2014,116.44
IBFEB2009,5/1/2014,116.28
IBMAR2009,5/1/2014,116.08
IBAPR2009,5/1/2014,115.92
IBMAY2009,5/1/2014,110.60
IBJUN2009,5/1/2014,110.12
IBJUL2009,5/1/2014,110.0
IBAUG2009,5/1/2014,109.88
IBSEP2009,5/1/2014,109.80
IBOCT2009,5/1/2014,109.68
IBNOV2009,5/1/2014,111.08
IBDEC2009,5/1/2014,110.96
IBJAN2008,5/1/2014,125.56
IBFEB2008,5/1/2014,125.32
IBMAR2008,5/1/2014,125.04
IBAPR2008,5/1/2014,124.8
IBMAY2008,5/1/2014,115.56
IBJUN2008,5/1/2014,115.44
IBJUL2008,5/1/2014,115.32
IBAUG2008,5/1/2014,115.2
IBSEP2008,5/1/2014,115.12
IBOCT2008,5/1/2014,115.00
IBNOV2008,5/1/2014,116.8
IBDEC2008,5/1/2014,116.64
IBJAN2007,5/1/2014,132.44
IBFEB2007,5/1/2014,132.16
IBMAR2007,5/1/2014,131.88
IBAPR2007,5/1/2014,131.6
IBMAY2007,5/1/2014,129.12
IBJUN2007,5/1/2014,128.84
IBJUL2007,5/1/2014,128.56
IBAUG2007,5/1/2014,128.32
IBSEP2007,5/1/2014,128.04
IBOCT2007,5/1/2014,127.80
IBNOV2007,5/1/2014,126.04
IBDEC2007,5/1/2014,125.80
IBJAN2006,5/1/2014,134.44
IBFEB2006,5/1/2014,134.20
IBMAR2006,5/1/2014,133.96
IBAPR2006,5/1/2014,133.72
IBMAY2006,5/1/2014,134.44
IBJUN2006,5/1/2014,134.16
IBJUL2006,5/1/2014,133.88
IBAUG2006,5/1/2014,133.56
IBSEP2006,5/1/2014,133.28
IBOCT2006,5/1/2014,133.00
IBNOV2006,5/1/2014,133.04
IBDEC2006,5/1/2014,132.72
IBJAN2013,5/1/2014,101.56
IBFEB2013,5/1/2014,101.48
IBMAR2013,5/1/2014,101.36
IBAPR2013,5/1/2014,101.28
IBMAY2013,5/1/2014,100.88
IBJUN2013,5/1/2014,100
IBJUL2013,5/1/2014,100
IBAUG2013,5/1/2014,100
IBSEP2013,5/1/2014,100
IBOCT2013,5/1/2014,100
